work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,MI,FT,Research Analyst,145000,US,0,US,M
2024,MI,FT,Research Analyst,75000,US,0,US,M
2024,SE,FT,Research Scientist,207575,US,0,US,M
2024,SE,FT,Research Scientist,138225,US,0,US,M
2024,MI,FT,Data Scientist,111600,US,0,US,L
2024,MI,FT,Data Visualization Developer,95000,US,100,US,M
2024,MI,FT,Data Visualization Developer,65000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,219600,US,0,US,M
2024,MI,FT,Machine Learning Engineer,125500,US,0,US,M
2024,SE,FT,Data Scientist,164250,US,0,US,M
2024,SE,FT,Data Manager,120000,US,100,US,M
2024,SE,FT,Data Manager,80000,US,100,US,M
2024,SE,FT,Business Intelligence Analyst,119892,CA,0,CA,M
2024,SE,FT,Business Intelligence Analyst,93752,CA,0,CA,M
2024,SE,FT,Machine Learning Scientist,250000,US,100,US,M
2024,EX,FT,Business Intelligence,306705,US,0,US,M
2024,EX,FT,Business Intelligence,140890,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,152894,US,100,US,M
2024,MI,FT,Business Intelligence Analyst,138995,US,100,US,M
2024,SE,FT,Research Scientist,76915,US,0,US,M
2024,MI,FT,Data Engineer,105700,US,0,US,L
2024,SE,FT,Data Engineer,110400,US,0,US,M
2024,SE,FT,Data Engineer,87900,US,0,US,M
2024,SE,FT,Applied Scientist,120000,CA,0,CA,M
2024,EN,FT,Business Intelligence,75000,US,0,US,M
2024,MI,FT,Data Engineer,144000,US,100,US,M
2024,EX,FT,Data Engineer,220000,US,100,US,M
2024,EX,FT,Data Engineer,176000,US,100,US,M
2024,SE,FT,Data Analyst,54000,RS,100,RS,M
2024,SE,FT,Data Analyst,48000,RS,100,RS,M
2024,EN,FT,Data Analyst,166549,US,0,US,M
2024,EN,FT,Data Analyst,118000,US,0,US,M
2024,MI,FT,Data Engineer,162500,US,100,US,M
2024,MI,FT,Data Engineer,66666,PT,100,PT,M
2024,MI,FT,Data Engineer,50000,PT,100,PT,M
2024,MI,FT,Data Engineer,74250,AR,100,AR,M
2024,MI,FT,Data Engineer,70000,AR,100,AR,M
2024,MI,FT,Data Engineer,256500,US,0,US,M
2024,EN,FT,Research Analyst,70000,US,0,US,M
2024,MI,FT,Robotics Engineer,208300,US,0,US,M
2024,MI,FT,Data Analyst,126500,US,100,US,M
2024,SE,FT,Research Engineer,146994,US,0,US,M
2024,SE,FT,Robotics Engineer,256500,US,0,US,M
2024,SE,FT,Robotics Engineer,138900,US,0,US,M
2024,MI,FT,Data Scientist,500000,US,0,US,M
2024,SE,FT,Data Scientist,66666,US,50,GR,L
2024,MI,FT,AI Engineer,125000,IN,100,IN,S
2024,SE,FT,Data Scientist,175059,US,100,US,M
2024,SE,FT,Data Engineer,216466,US,0,US,M
2024,SE,FT,Data Engineer,211164,US,0,US,M
2024,SE,FT,Business Intelligence Analyst,187000,US,100,US,M
2024,SE,FT,Business Intelligence Analyst,117000,US,100,US,M
2024,SE,FT,Data Scientist,199234,US,100,US,M
2024,SE,FT,Data Analyst,150416,NZ,0,NZ,M
2024,SE,FT,Data Analyst,120870,NZ,0,NZ,M
2024,SE,FT,Data Scientist,284900,US,0,US,M
2024,SE,FT,Data Scientist,161700,US,0,US,M
2024,SE,FT,Business Intelligence Lead,78750,US,0,US,M
2024,SE,FT,Business Intelligence Lead,62500,US,0,US,M
2024,SE,FT,Data Scientist,226500,US,100,US,M
2024,SE,FT,Data Scientist,110900,US,100,US,M
2024,SE,FT,Research Scientist,720000,US,0,US,M
2024,SE,FT,Research Scientist,100000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,115000,CA,100,CA,M
2024,EN,FT,Business Intelligence Analyst,75000,CA,100,CA,M
2024,MI,FT,Data Engineer,299003,US,100,US,M
2024,MI,FT,Machine Learning Engineer,115000,US,0,US,L
2024,MI,FT,AI Software Engineer,250200,US,0,US,M
2024,MI,FT,AI Software Engineer,117200,US,0,US,M
2024,MI,FT,Data Manager,128000,US,0,US,M
2024,SE,FT,Applied Scientist,115100,US,0,US,L
2024,MI,FT,Data Manager,72500,GB,100,GB,M
2024,MI,FT,Data Manager,60000,GB,100,GB,M
2024,SE,FT,Business Intelligence Engineer,104300,US,0,US,L
2024,SE,FT,Machine Learning Engineer,213876,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000,CA,0,CA,M
2024,MI,FT,Data Scientist,280000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,110000,US,100,US,M
2024,MI,FT,Data Specialist,68500,US,100,US,M
2024,EN,FT,Data Analyst,117700,US,0,US,M
2024,EN,FT,Data Analyst,82400,US,0,US,M
2024,SE,FT,Business Intelligence,82000,US,0,US,M
2024,SE,FT,Business Intelligence,51000,US,0,US,M
2024,MI,FT,Data Analyst,87630,US,100,US,M
2024,MI,FT,Data Analyst,61360,US,100,US,M
2024,SE,FT,Data Engineer,254000,US,0,US,M
2024,EN,FT,Data Analyst,75100,US,0,US,M
2024,SE,FT,Data Engineer,116200,US,0,US,M
2024,SE,FT,Data Engineer,120000,UA,0,UA,M
2024,SE,FT,Data Engineer,60000,UA,0,UA,M
2024,SE,FT,AI Architect,110100,US,0,US,M
2024,EN,FT,Data Analyst,99000,CA,0,CA,M
2024,EN,FT,Research Scientist,198600,US,0,US,M
2024,MI,FT,Applied Scientist,198600,US,0,US,M
2024,MI,FT,Applied Scientist,94300,US,0,US,M
2024,MI,FT,Data Manager,123500,US,0,US,M
2024,MI,FT,Data Manager,73500,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,232000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,182000,US,0,US,M
2024,SE,FT,Data Scientist,269000,CA,0,CA,M
2024,SE,FT,Data Scientist,150000,CA,0,CA,M
2024,SE,FT,Business Intelligence Engineer,202800,US,100,US,M
2024,SE,FT,Business Intelligence Engineer,115000,US,100,US,M
2024,MI,FT,Data Engineer,236474,US,100,US,M
2024,MI,FT,Business Intelligence Engineer,120000,US,0,US,M
2024,EX,FT,Data Engineer,352000,US,100,US,M
2024,SE,FT,Data Scientist,258000,US,0,US,M
2024,MI,FT,Research Engineer,164000,US,0,US,M
2024,MI,FT,Research Engineer,111000,US,0,US,M
2024,SE,FT,Data Engineer,133250,CA,100,CA,M
